English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tunisian Word
happy	0	0	0	0	1	0	1	0	0	1	farhèn
cry	0	0	0	0	0	1	0	1	0	0	nebki
love	0	0	0	0	1	0	1	0	0	1	yhebb
sick	0	0	1	1	0	1	0	1	0	0	mridha
scared	1	0	1	1	0	1	0	0	0	0	khayef
cool	0	0	0	0	1	0	1	0	0	1	kif kif
dirty	0	0	1	0	0	1	0	0	0	0	massakh
surprised	0	0	0	0	0	0	0	0	1	0	metsammem
confident	0	1	0	0	1	0	1	0	0	1	tha9 fih rouhou
nervous	1	1	0	1	0	1	0	1	0	0	mrtabi
liar	1	0	0	0	0	1	0	0	0	0	kaddhab
help	0	1	0	0	1	0	1	0	0	1	3awwen
hate	1	0	1	0	0	1	0	0	0	0	yekrah
shocked	1	0	0	1	0	1	0	1	1	0	metsaddem
laugh	0	0	0	0	1	0	1	0	0	1	ydhak
sad	0	0	0	0	0	1	0	1	0	0	mahzoun
relaxed	0	1	0	0	1	0	1	0	0	1	mratteh
disgusted	1	0	1	0	0	1	0	0	0	0	maqref
brave	0	1	0	0	1	0	1	0	0	1	chj3en
coward	1	0	0	1	0	1	0	1	0	0	jenen
respect	0	1	0	0	1	0	1	0	0	1	y7tarem
betray	1	0	1	0	0	1	0	1	0	0	khèn
friend	0	1	0	0	1	0	1	0	0	1	sa7bi
enemy	1	0	1	0	0	1	0	1	0	0	3dou
tired	0	0	1	0	0	1	0	1	0	0	ta3bèn
excited	0	1	0	0	1	0	1	0	1	1	m7ammes
jealous	1	0	1	0	0	1	0	0	0	0	ghayour
clean	0	0	0	0	1	0	1	0	0	1	nadhif
rich	0	0	0	0	1	0	1	0	0	1	messalel
poor	0	0	0	0	0	1	0	1	0	0	meskin
hungry	0	0	1	0	0	1	0	0	0	0	ji3èn
full	0	1	0	0	1	0	1	0	0	1	shabba3
nice	0	0	0	0	1	0	1	0	0	1	mbarkallah
angry	1	0	1	0	0	1	0	0	0	0	ghadhbèn
aback	0	0	0	0	0	0	0	0	0	0	mfaja3
abacus	0	0	0	0	0	0	0	0	0	1	7séba
abandon	0	0	0	1	0	1	0	1	0	0	tark
abandoned	1	0	0	1	0	1	0	1	0	0	matruk
abandonment	1	0	0	1	0	1	0	1	1	0	tark
